order_id,customer_id,order_date,status,payment_method
O00106,C0040,2025-06-24,Delivered,Credit Card
O00107,C0272,2026-08-19,Delivered,Net Banking
O00108,C0180,2026-03-14,Processing,Unknown
O00109,C0076,2026-08-30,Delivered,UPI
O00110,C0132,2026-04-25,Delivered,Wallet
O00111,C0079,2025-12-07,Processing,Credit Card
O00112,C0091,2025-09-30,Returned,COD
O00113,C0238,2025-07-15,Processing,Wallet
O00114,C0230,2025-12-10,Shipped,Wallet
O00115,C0166,2025-04-21,Cancelled,Net Banking
O00116,C0078,2025-10-06,Delivered,COD
O00117,C0227,2025-04-10,Shipped,Net Banking
O00118,C0029,2025-07-09,Delivered,Credit Card
O00119,C0159,2026-07-28,Delivered,Credit Card
O00120,C0030,2025-10-01,Delivered,Net Banking
O00121,C0040,2025-11-30,Shipped,Credit Card
O00122,C0260,2025-11-22,Delivered,Wallet
O00123,C0284,2025-04-12,Returned,Credit Card
O00124,C0231,2026-09-06,Cancelled,Wallet
O00125,C0097,2025-09-11,Delivered,COD
O00126,C0257,2026-04-07,Delivered,Unknown
O00127,C0032,2025-12-28,Delivered,Net Banking
O00128,C0044,2026-06-15,Delivered,UPI
O00129,C0021,2026-06-18,Delivered,COD
O00130,C0225,2025-08-09,Delivered,Wallet
O00131,C0082,2026-01-10,Delivered,Net Banking
O00132,C0199,2025-06-21,Delivered,Net Banking
O00133,C0027,2026-03-11,Processing,Net Banking
O00134,C0034,2025-10-04,Delivered,Wallet
O00135,C0198,2026-03-11,Delivered,Wallet
O00136,C0077,2026-06-18,Delivered,Wallet
O00137,C0073,2025-12-26,Cancelled,Net Banking
O00138,C0201,2025-10-10,Delivered,Credit Card
O00139,C0159,2026-07-28,Shipped,Net Banking
O00140,C0066,2025-12-25,Shipped,Wallet
O00141,C0048,2025-09-27,Shipped,COD
O00142,C0261,2026-07-06,Delivered,Net Banking
O00143,C0159,2025-12-09,Delivered,UPI
O00144,C0175,2025-12-07,Returned,Unknown
O00145,C0249,2026-02-12,Delivered,UPI
O00146,C0080,2025-12-18,Delivered,Credit Card
O00147,C0260,2025-06-02,Processing,Wallet
O00148,C0020,2025-06-16,Shipped,Wallet
O00149,C0068,2025-04-29,Shipped,UPI
O00150,C0084,2026-03-05,Delivered,Wallet
O00151,C0085,2025-07-11,Processing,Credit Card
O00152,C0211,2025-06-28,Delivered,UPI
O00153,C0228,2025-10-02,Shipped,COD
O00154,C0120,2026-04-15,Delivered,Net Banking
O00155,C0241,2025-05-21,Cancelled,UPI
O00156,C0189,2025-07-22,Shipped,Wallet
O00157,C0226,2026-06-05,Delivered,Net Banking
O00158,C0196,2026-04-16,Delivered,COD
O00159,C0083,2025-12-06,Cancelled,Wallet
O00160,C0071,2025-12-05,Cancelled,Credit Card
O00161,C0247,2025-07-11,Cancelled,Wallet
O00162,C0053,2025-06-14,Processing,Unknown
O00163,C0265,2026-06-17,Cancelled,Net Banking
O00164,C0043,2025-03-30,Processing,Net Banking
O00165,C0231,2025-04-10,Cancelled,UPI
O00166,C0224,2026-01-26,Delivered,UPI
O00167,C0231,2025-06-14,Cancelled,Credit Card
O00168,C0213,2026-02-25,Delivered,Wallet
O00169,C0192,2025-04-08,Delivered,Credit Card
O00170,C0192,2026-01-25,Delivered,Net Banking
O00171,C0051,2025-04-17,Cancelled,Net Banking
O00172,C0075,2025-08-06,Delivered,Net Banking
O00173,C0242,2025-06-24,Shipped,UPI
O00174,C0241,2026-08-25,Delivered,Credit Card
O00175,C0041,2026-02-09,Delivered,UPI
O00176,C0077,2026-01-20,Delivered,Wallet
O00177,C0271,2025-03-28,Delivered,Net Banking
O00178,C0122,2026-04-16,Delivered,Credit Card
O00179,C0123,2026-03-15,Delivered,Wallet
O00180,C0235,2025-08-20,Delivered,Unknown
O00181,C0256,2025-05-03,Shipped,Credit Card
O00182,C0264,2025-11-19,Shipped,UPI
O00183,C0150,2026-09-13,Delivered,Wallet
O00184,C0181,2026-07-06,Delivered,COD
O00185,C0096,2025-06-19,Shipped,Credit Card
O00186,C0269,2026-06-16,Returned,Credit Card
O00187,C0270,2026-02-10,Delivered,Wallet
O00188,C0284,2026-05-27,Delivered,COD
O00189,C0023,2026-06-10,Shipped,Net Banking
O00190,C0130,2025-06-25,Processing,Net Banking
O00191,C0035,2026-03-14,Delivered,Credit Card
O00192,C0298,2025-08-09,Processing,Net Banking
O00193,C0069,2026-04-18,Delivered,Wallet
O00194,C0174,2025-09-21,Cancelled,UPI
O00195,C0238,2025-11-21,Returned,COD
O00196,C0094,2026-02-04,Cancelled,Credit Card
O00197,C0235,2025-07-21,Delivered,UPI
O00198,C0023,2025-10-15,Processing,Unknown
O00199,C0022,2025-05-16,Delivered,Net Banking
O00200,C0264,2025-07-06,Delivered,Wallet
O00201,C0243,2026-07-02,Delivered,UPI
O00202,C0147,2025-12-19,Delivered,Credit Card
O00203,C0170,2025-11-03,Delivered,Net Banking
O00204,C0224,2025-06-07,Cancelled,COD
O00205,C0198,2025-05-09,Delivered,UPI
O00206,C0255,2025-12-03,Shipped,Net Banking
O00207,C0266,2026-02-17,Delivered,Credit Card
O00208,C0218,2025-04-08,Delivered,Wallet
O00209,C0093,2026-05-21,Delivered,Net Banking
O00210,C0053,2025-12-18,Delivered,Net Banking
O00211,C0157,2025-05-21,Delivered,COD
O00212,C0086,2025-12-07,Shipped,Net Banking
O00213,C0229,2025-05-28,Delivered,Net Banking
O00214,C0223,2026-02-11,Delivered,Credit Card
O00215,C0039,2026-06-14,Shipped,COD
O00216,C0187,2026-07-22,Delivered,Unknown
O00217,C0082,2026-05-16,Returned,UPI
O00218,C0225,2026-03-08,Delivered,Credit Card
O00219,C0121,2025-12-29,Processing,Net Banking
O00220,C0186,2025-10-06,Delivered,Wallet
O00221,C0017,2025-04-10,Shipped,COD
O00222,C0190,2026-01-02,Delivered,Credit Card
O00223,C0294,2025-07-21,Delivered,Net Banking
O00224,C0204,2026-05-31,Delivered,Net Banking
O00225,C0128,2026-05-24,Returned,Credit Card
O00226,C0096,2025-10-12,Delivered,COD
O00227,C0288,2026-02-03,Delivered,Net Banking
O00228,C0229,2026-04-28,Delivered,Wallet
O00229,C0147,2026-05-09,Shipped,COD
O00230,C0103,2026-04-03,Delivered,Credit Card
O00231,C0232,2025-05-10,Delivered,COD
O00232,C0045,2025-05-30,Cancelled,Net Banking
O00233,C0178,2025-12-04,Processing,Wallet
O00234,C0278,2025-07-23,Delivered,Unknown
O00235,C0154,2026-07-01,Cancelled,UPI
O00236,C0186,2025-08-20,Delivered,Credit Card
O00237,C0103,2026-07-11,Processing,UPI
O00238,C0253,2025-10-27,Delivered,Wallet
O00239,C0294,2025-06-29,Delivered,Wallet
O00240,C0067,2026-04-10,Shipped,Credit Card
O00241,C0034,2026-05-24,Delivered,COD
O00242,C0270,2026-01-28,Delivered,COD
O00243,C0295,2025-05-21,Delivered,Net Banking
O00244,C0038,2025-03-21,Delivered,Wallet
O00245,C0177,2026-03-11,Delivered,Wallet
O00246,C0009,2026-03-29,Delivered,UPI
O00247,C0222,2025-09-07,Delivered,Credit Card
O00248,C0064,2025-10-02,Delivered,Net Banking
O00249,C0085,2025-06-10,Delivered,UPI
O00250,C0178,2026-03-10,Returned,Wallet
O00251,C0146,2025-08-03,Cancelled,Net Banking
O00252,C0101,2026-06-29,Shipped,Unknown
O00253,C0283,2025-11-05,Delivered,Net Banking
O00254,C0274,2025-10-04,Delivered,UPI
O00255,C0298,2025-08-16,Delivered,Wallet
O00256,C0173,2026-03-25,Cancelled,Wallet
O00257,C0022,2026-05-05,Cancelled,Credit Card
O00258,C0042,2025-10-30,Delivered,Wallet
O00259,C0136,2026-05-21,Shipped,Wallet
O00260,C0214,2025-12-07,Shipped,Credit Card
O00261,C0255,2025-10-06,Cancelled,Wallet
O00262,C0149,2026-01-16,Shipped,Net Banking
O00263,C0248,2025-08-04,Delivered,COD
O00264,C0153,2025-09-02,Delivered,Credit Card
O00265,C0081,2025-09-22,Delivered,COD
O00266,C0238,2026-04-08,Delivered,Wallet
O00267,C0074,2026-04-25,Delivered,Net Banking
O00268,C0177,2026-06-29,Returned,UPI
O00269,C0190,2026-03-14,Delivered,Credit Card
O00270,C0164,2026-05-01,Delivered,Unknown
O00271,C0063,2025-11-17,Delivered,UPI
O00272,C0073,2026-04-05,Delivered,Net Banking
O00273,C0197,2025-06-14,Cancelled,COD
O00274,C0128,2025-07-13,Returned,UPI
O00275,C0168,2025-10-23,Returned,Net Banking
O00276,C0098,2025-09-19,Processing,COD
O00277,C0264,2026-01-13,Delivered,Net Banking
O00278,C0255,2026-04-03,Delivered,COD
O00279,C0259,2026-04-09,Delivered,UPI
O00280,C0111,2025-06-14,Shipped,Credit Card
O00281,C0026,2026-08-28,Delivered,Wallet
O00282,C0241,2025-03-20,Delivered,Credit Card
O00283,C0056,2025-05-06,Delivered,Net Banking
O00284,C0188,2025-06-05,Processing,Net Banking
O00285,C0024,2026-08-07,Delivered,Wallet
O00286,C0288,2025-11-11,Delivered,Wallet
O00287,C0148,2025-04-22,Delivered,Wallet
O00288,C0231,2025-07-17,Processing,Unknown
O00289,C0144,2025-04-30,Cancelled,Wallet
O00290,C0061,2025-04-07,Delivered,Credit Card
O00291,C0202,2025-10-14,Delivered,Net Banking
O00292,C0286,2026-09-08,Returned,UPI
O00293,C0102,2026-02-17,Shipped,COD
O00294,C0257,2025-12-28,Delivered,Credit Card
O00295,C0071,2026-04-11,Processing,COD
O00296,C0266,2026-02-08,Delivered,Wallet
O00297,C0264,2026-08-18,Delivered,Wallet
O00298,C0164,2026-06-10,Delivered,Wallet
O00299,C0154,2026-03-03,Shipped,Wallet
O00300,C0261,2025-11-13,Delivered,Wallet
O00301,C0154,2025-07-06,Delivered,Credit Card
O00302,C0189,2026-03-12,Delivered,Credit Card
O00303,C0214,2026-06-01,Shipped,Credit Card
O00304,C0243,2025-08-21,Delivered,Wallet
O00305,C0296,2025-04-05,Delivered,Credit Card
O00306,C0299,2026-02-09,Delivered,Unknown
O00307,C0269,2025-12-25,Shipped,Wallet
O00308,C0195,2025-07-22,Delivered,UPI
O00309,C0017,2025-06-18,Shipped,Credit Card
O00310,C0098,2025-04-06,Delivered,Net Banking
O00311,C0215,2025-07-27,Delivered,UPI
O00312,C0211,2025-03-18,Delivered,Wallet
O00313,C0242,2025-06-12,Cancelled,Credit Card
O00314,C0071,2026-09-15,Delivered,Wallet
O00315,C0167,2026-05-19,Returned,COD
O00316,C0270,2025-09-27,Delivered,UPI
O00317,C0236,2025-10-20,Cancelled,Net Banking
O00318,C0280,2026-02-02,Delivered,Net Banking
O00319,C0248,2025-12-26,Delivered,UPI
O00320,C0143,2026-04-25,Shipped,UPI
O00321,C0153,2025-04-24,Processing,UPI
O00322,C0251,2025-05-06,Delivered,Net Banking
O00323,C0287,2025-08-20,Returned,Net Banking
O00324,C0148,2026-06-15,Delivered,Unknown
O00325,C0279,2026-08-01,Delivered,COD
O00326,C0177,2025-09-24,Returned,UPI
O00327,C0149,2026-08-27,Delivered,Credit Card
O00328,C0178,2025-08-16,Returned,Net Banking
O00329,C0246,2026-02-13,Delivered,Wallet
O00330,C0139,2025-07-02,Returned,Net Banking
O00331,C0071,2026-08-09,Delivered,Wallet
O00332,C0123,2026-01-27,Delivered,Wallet
O00333,C0116,2025-08-08,Shipped,Credit Card
O00334,C0052,2025-10-27,Delivered,COD
O00335,C0052,2025-05-15,Shipped,UPI
O00336,C0003,2025-04-26,Returned,UPI
O00337,C0209,2025-08-26,Shipped,COD
O00338,C0245,2026-08-18,Shipped,Net Banking
O00339,C0165,2026-06-01,Delivered,Credit Card
O00340,C0046,2026-08-24,Shipped,UPI
O00341,C0274,2026-07-11,Processing,Credit Card
O00342,C0090,2026-06-06,Delivered,Unknown
O00343,C0091,2026-01-27,Returned,Credit Card
O00344,C0204,2026-04-02,Processing,UPI
O00345,C0149,2026-08-29,Cancelled,Credit Card
O00346,C0153,2026-01-20,Shipped,Credit Card
O00347,C0172,2026-05-13,Delivered,Wallet
O00348,C0269,2026-05-07,Delivered,UPI
O00349,C0259,2026-08-26,Delivered,UPI
O00350,C0058,2025-11-24,Delivered,COD
O00351,C0132,2025-11-25,Processing,Credit Card
O00352,C0173,2026-02-02,Processing,Wallet
O00353,C0099,2025-04-01,Delivered,COD
O00354,C0219,2025-05-20,Delivered,Credit Card
O00355,C0206,2025-04-24,Shipped,UPI
O00356,C0072,2026-02-28,Delivered,UPI
O00357,C0004,2026-09-13,Delivered,UPI
O00358,C0229,2026-03-23,Processing,Net Banking
O00359,C0155,2025-07-22,Shipped,Wallet
O00360,C0006,2025-09-07,Delivered,Unknown
O00361,C0185,2026-08-23,Shipped,Credit Card
O00362,C0061,2025-12-26,Delivered,UPI
O00363,C0208,2025-03-23,Shipped,Net Banking
O00364,C0061,2026-06-17,Shipped,Net Banking
O00365,C0189,2025-08-01,Shipped,UPI
O00366,C0069,2025-05-07,Delivered,COD
O00367,C0192,2026-03-22,Delivered,Wallet
O00368,C0242,2026-06-10,Processing,UPI
O00369,C0127,2025-04-28,Shipped,Wallet
O00370,C0042,2026-08-10,Delivered,Wallet
O00371,C0186,2025-12-04,Delivered,Wallet
O00372,C0058,2025-09-27,Delivered,Wallet
O00373,C0259,2026-07-21,Delivered,Wallet
O00374,C0077,2025-08-12,Delivered,Wallet
O00375,C0227,2026-08-19,Delivered,UPI
O00376,C0299,2026-03-27,Delivered,Wallet
O00377,C0229,2026-07-29,Cancelled,COD
O00378,C0068,2025-12-16,Delivered,Unknown
O00379,C0234,2025-07-05,Shipped,Wallet
O00380,C0237,2026-04-25,Shipped,Net Banking
O00381,C0012,2026-07-09,Delivered,Credit Card
O00382,C0112,2025-07-09,Shipped,Credit Card
O00383,C0217,2025-07-07,Delivered,Credit Card
O00384,C0278,2025-08-01,Returned,Credit Card
O00385,C0242,2026-02-19,Delivered,COD
O00386,C0093,2025-06-11,Processing,COD
O00387,C0192,2025-05-15,Returned,COD
O00388,C0230,2026-08-04,Cancelled,COD
O00389,C0193,2026-03-23,Delivered,Wallet
O00390,C0069,2026-03-16,Shipped,Net Banking
O00391,C0061,2026-02-17,Delivered,Wallet
O00392,C0202,2026-05-10,Delivered,UPI
O00393,C0002,2026-01-08,Processing,Net Banking
O00394,C0238,2025-04-10,Shipped,Wallet
O00395,C0218,2025-12-07,Delivered,UPI
O00396,C0127,2026-02-21,Delivered,Unknown
O00397,C0080,2025-12-12,Delivered,Credit Card
O00398,C0017,2026-09-08,Cancelled,COD
O00399,C0009,2026-07-22,Delivered,Credit Card
O00400,C0052,2026-07-07,Shipped,COD
O00401,C0025,2025-12-11,Delivered,Credit Card
O00402,C0206,2026-09-08,Delivered,Wallet
O00403,C0112,2026-08-01,Processing,Credit Card
O00404,C0072,2025-08-18,Delivered,Net Banking
O00405,C0120,2025-07-17,Cancelled,Wallet
O00406,C0164,2026-01-28,Shipped,Net Banking
O00407,C0122,2025-04-16,Delivered,UPI
O00408,C0267,2026-05-29,Delivered,Net Banking
O00409,C0141,2025-12-05,Delivered,Wallet
O00410,C0090,2026-01-08,Shipped,COD
O00411,C0285,2025-12-18,Delivered,Net Banking
O00412,C0196,2025-10-19,Processing,Net Banking
O00413,C0214,2026-03-29,Delivered,Net Banking
O00414,C0193,2025-06-21,Delivered,Unknown
O00415,C0276,2026-09-04,Delivered,UPI
O00416,C0154,2026-04-04,Cancelled,UPI
O00417,C0238,2025-11-25,Cancelled,Wallet
O00418,C0212,2026-03-30,Returned,Wallet
O00419,C0272,2025-03-24,Delivered,UPI
O00420,C0131,2025-07-11,Delivered,Credit Card
O00421,C0231,2026-01-30,Cancelled,Credit Card
O00422,C0275,2025-09-12,Processing,UPI
O00423,C0027,2026-02-16,Delivered,Wallet
O00424,C0021,2025-08-07,Cancelled,UPI
O00425,C0009,2026-01-12,Processing,Wallet
O00426,C0112,2025-07-25,Delivered,Net Banking
O00427,C0156,2025-12-01,Returned,Credit Card
O00428,C0109,2026-02-16,Returned,Credit Card
O00429,C0246,2025-10-04,Cancelled,Wallet
O00430,C0105,2025-12-16,Delivered,UPI
O00431,C0283,2025-07-11,Delivered,Net Banking
O00432,C0195,2026-04-05,Delivered,Unknown
O00433,C0184,2025-10-08,Delivered,Net Banking
O00434,C0263,2026-06-29,Cancelled,COD
O00435,C0051,2025-08-18,Cancelled,COD
O00436,C0164,2025-06-24,Cancelled,Net Banking
O00437,C0161,2025-05-28,Delivered,Wallet
O00438,C0114,2026-01-27,Processing,Credit Card
O00439,C0134,2025-07-21,Shipped,Wallet
O00440,C0297,2025-05-11,Processing,Net Banking
O00441,C0079,2025-08-12,Delivered,UPI
O00442,C0195,2025-07-25,Shipped,UPI
O00443,C0256,2025-11-09,Shipped,Net Banking
O00444,C0132,2025-10-12,Processing,COD
O00445,C0252,2025-06-05,Delivered,Net Banking
O00446,C0087,2026-08-25,Delivered,Wallet
O00447,C0251,2025-06-07,Delivered,Wallet
O00448,C0031,2026-06-02,Delivered,Credit Card
O00449,C0025,2025-06-22,Processing,COD
O00450,C0071,2025-12-16,Cancelled,Unknown
O00451,C0119,2026-09-14,Delivered,UPI
O00452,C0005,2026-06-26,Delivered,COD
O00453,C0192,2025-12-26,Delivered,Wallet
O00454,C0248,2026-04-16,Shipped,Credit Card
O00455,C0004,2026-05-22,Delivered,COD
O00456,C0007,2025-08-29,Delivered,Net Banking
O00457,C0275,2026-01-20,Returned,Credit Card
O00458,C0258,2026-01-23,Cancelled,COD
O00459,C0092,2025-10-22,Delivered,Credit Card
O00460,C0269,2026-03-31,Delivered,UPI
O00461,C0270,2025-04-19,Delivered,Net Banking
O00462,C0137,2026-06-06,Processing,Credit Card
O00463,C0192,2025-12-04,Returned,COD
O00464,C0290,2026-02-26,Delivered,UPI
O00465,C0154,2025-11-19,Shipped,Credit Card
O00466,C0017,2025-09-17,Delivered,COD
O00467,C0194,2025-10-01,Shipped,Credit Card
O00468,C0005,2026-01-19,Processing,Unknown
O00469,C0043,2026-08-10,Delivered,COD
O00470,C0170,2025-08-06,Shipped,Credit Card
O00471,C0271,2025-03-28,Cancelled,UPI
O00472,C0109,2025-05-23,Cancelled,Wallet
O00473,C0244,2026-07-06,Delivered,Credit Card
O00474,C0144,2026-08-27,Cancelled,Wallet
O00475,C0017,2025-07-05,Delivered,Net Banking
O00476,C0009,2026-01-27,Returned,Wallet
O00477,C0074,2026-03-08,Processing,COD
O00478,C0040,2025-06-21,Delivered,Wallet
O00479,C0124,2026-05-19,Shipped,COD
O00480,C0277,2025-09-28,Delivered,UPI
O00481,C0041,2026-03-21,Delivered,Net Banking
O00482,C0028,2025-12-10,Delivered,UPI
O00483,C0039,2026-04-25,Delivered,Wallet
O00484,C0204,2026-07-18,Returned,Net Banking
O00485,C0016,2025-10-12,Shipped,COD
O00486,C0252,2025-08-22,Delivered,Unknown
O00487,C0284,2026-02-27,Returned,COD
O00488,C0096,2025-06-05,Shipped,COD
O00489,C0044,2025-06-17,Processing,Net Banking
O00490,C0127,2026-06-03,Processing,Credit Card
O00491,C0138,2025-09-18,Delivered,UPI
O00492,C0200,2026-02-26,Delivered,Credit Card
O00493,C0047,2026-01-25,Delivered,Net Banking
O00494,C0228,2026-06-26,Delivered,Net Banking
O00495,C0053,2025-04-26,Delivered,UPI
O00496,C0221,2025-06-14,Delivered,Wallet
O00497,C0263,2025-07-21,Delivered,Credit Card
O00498,C0046,2025-09-07,Delivered,Credit Card
O00499,C0167,2025-08-24,Cancelled,Credit Card
O00500,C0150,2025-08-11,Delivered,Credit Card
O00501,C0287,2026-03-06,Cancelled,UPI
O00502,C0293,2025-08-13,Delivered,COD
O00503,C0087,2025-11-16,Delivered,Net Banking
O00504,C0138,2026-07-03,Delivered,Unknown
O00505,C0033,2025-10-03,Delivered,Net Banking
O00506,C0216,2026-02-02,Delivered,Credit Card
O00507,C0185,2026-08-29,Delivered,UPI
O00508,C0254,2025-10-30,Shipped,UPI
O00509,C0235,2025-06-26,Delivered,Net Banking
O00510,C0004,2025-03-30,Returned,Net Banking
O00511,C0195,2026-04-20,Cancelled,Net Banking
O00512,C0226,2026-03-15,Delivered,Wallet
O00513,C0070,2026-08-15,Delivered,Wallet
O00514,C0103,2026-04-05,Delivered,UPI
O00515,C0204,2025-04-30,Returned,Net Banking
O00516,C0252,2025-06-17,Returned,UPI
O00517,C0167,2025-05-13,Delivered,COD
O00518,C0187,2025-04-21,Delivered,Wallet
O00519,C0103,2026-07-12,Shipped,Wallet
O00520,C0093,2026-01-12,Shipped,Wallet
O00521,C0014,2025-04-01,Returned,COD
O00522,C0108,2025-10-21,Delivered,Unknown
O00523,C0150,2026-05-11,Cancelled,Credit Card
O00524,C0210,2025-05-02,Shipped,UPI
O00525,C0156,2025-08-08,Delivered,UPI
O00526,C0217,2025-06-11,Processing,Credit Card
O00527,C0230,2026-03-11,Returned,COD
O00528,C0299,2026-07-16,Delivered,Wallet
O00529,C0215,2025-09-03,Delivered,Net Banking
O00530,C0275,2025-07-31,Shipped,Credit Card
O00531,C0056,2025-08-20,Processing,Net Banking
O00532,C0086,2026-02-24,Shipped,Credit Card
O00533,C0289,2025-05-28,Returned,COD
O00534,C0170,2026-06-20,Returned,COD
O00535,C0055,2025-04-02,Delivered,Net Banking
O00536,C0114,2026-03-16,Delivered,Wallet
O00537,C0286,2026-07-02,Shipped,Wallet
O00538,C0114,2025-09-12,Delivered,COD
O00539,C0238,2025-12-03,Processing,Wallet
O00540,C0257,2026-09-03,Delivered,Unknown
O00541,C0013,2026-01-08,Delivered,Net Banking
O00542,C0213,2025-08-14,Returned,Credit Card
O00543,C0060,2025-11-16,Cancelled,UPI
O00544,C0179,2026-08-31,Delivered,COD
O00545,C0106,2026-04-04,Delivered,Net Banking
O00546,C0244,2025-06-23,Delivered,COD
O00547,C0164,2026-02-08,Delivered,Credit Card
O00548,C0059,2026-02-26,Delivered,Net Banking
O00549,C0056,2026-03-01,Shipped,UPI
O00550,C0125,2026-01-21,Delivered,Wallet
O00551,C0082,2025-12-29,Delivered,COD
O00552,C0237,2026-03-03,Delivered,COD
O00553,C0095,2025-09-03,Delivered,COD
O00554,C0203,2025-09-24,Delivered,Wallet
O00555,C0102,2026-01-07,Delivered,COD
O00556,C0200,2026-06-01,Delivered,UPI
O00557,C0106,2025-11-15,Delivered,Credit Card
O00558,C0296,2025-10-04,Delivered,Unknown
O00559,C0275,2025-08-07,Delivered,Net Banking
O00560,C0101,2025-08-31,Delivered,Net Banking
O00561,C0251,2025-03-18,Delivered,Net Banking
O00562,C0199,2026-06-07,Shipped,Wallet
