customer_id,recency,frequency,monetary,R_score,F_score,M_score,RFM_score,segment
C0057,251,2,9022.0,2,2,1,221,Lost
C0058,222,3,15827.5,2,3,2,232,Potential Loyalists
C0059,84,3,27119.5,4,3,3,433,Potential Loyalists
C0060,288,3,14122.0,2,3,2,232,Potential Loyalists
C0061,92,6,32277.0,4,5,4,454,Champions
C0063,262,3,17035.25,2,3,2,232,Potential Loyalists
C0064,350,1,8040.0,1,1,1,111,Lost
C0065,381,1,6525.0,1,1,1,111,Lost
C0066,65,2,3150.25,4,2,1,421,New Customers
C0067,160,5,31612.5,3,5,4,354,Potential Loyalists
C0068,275,4,46339.0,2,4,5,245,At Risk
C0069,152,4,54787.0,3,4,5,345,Potential Loyalists
C0070,33,2,28685.5,5,2,4,524,New Customers
C0071,2,7,52056.0,5,5,5,555,Champions
C0072,201,3,15593.0,2,3,2,232,Potential Loyalists
C0073,31,6,45426.5,5,5,5,555,Champions
C0074,126,3,21677.0,3,3,3,333,Potential Loyalists
C0075,407,1,4608.0,1,1,1,111,Lost
C0076,18,3,12755.0,5,3,2,532,Potential Loyalists
C0077,91,4,36091.5,4,4,4,444,Champions
C0078,346,3,36133.5,1,3,4,134,Potential Loyalists
C0079,4,4,15255.2,5,4,2,542,Potential Loyalists
C0080,116,5,40430.5,3,5,4,354,Potential Loyalists
C0081,253,4,40674.0,2,4,4,244,At Risk
C0082,124,4,11854.0,3,4,2,342,Potential Loyalists
C0083,129,2,28888.0,3,2,4,324,Potential Loyalists
C0084,196,1,14400.0,2,1,2,212,Lost
C0085,22,4,13724.0,5,4,2,542,Potential Loyalists
C0086,1,5,25270.0,5,5,3,553,Potential Loyalists
C0087,23,2,15510.0,5,2,2,522,New Customers
C0089,126,4,14227.0,3,4,2,342,Potential Loyalists
C0090,103,6,55285.6,4,5,5,455,Champions
C0091,233,4,21814.5,2,4,3,243,At Risk
C0092,171,2,25000.0,3,2,3,323,Potential Loyalists
C0093,119,3,21568.3,3,3,3,333,Potential Loyalists
C0094,43,2,1991.0,5,2,1,521,New Customers
C0095,379,2,5524.0,1,2,1,121,Lost
C0096,340,4,47367.6,1,4,5,145,At Risk
C0097,211,2,25433.0,2,2,3,223,Lost
C0098,363,2,23085.8,1,2,3,123,Lost
C0099,534,1,6021.0,1,1,1,111,Lost
C0101,80,2,18304.0,4,2,3,423,New Customers
C0102,212,3,13355.0,2,3,2,232,Potential Loyalists
C0103,67,5,29810.5,4,5,4,454,Champions
C0104,114,3,39884.0,3,3,4,334,Potential Loyalists
C0105,275,1,11382.0,2,1,2,212,Lost
C0106,81,7,37840.0,4,5,4,454,Champions
C0107,38,2,12170.0,5,2,2,522,New Customers
C0108,331,2,18600.0,1,2,3,123,Lost
C0109,146,4,37675.0,3,4,4,344,Potential Loyalists
C0110,390,1,41297.5,1,1,4,114,Lost
C0111,460,1,25430.0,1,1,3,113,Lost
C0112,47,4,25443.4,5,4,3,543,Potential Loyalists
C0113,97,1,2628.0,4,1,1,411,New Customers
C0114,185,5,38353.25,2,5,4,254,At Risk
C0115,134,2,21355.85,3,2,3,323,Potential Loyalists
C0116,41,3,14273.5,5,3,2,532,Potential Loyalists
C0117,115,3,45780.0,3,3,5,335,Potential Loyalists
C0118,389,1,9800.0,1,1,1,111,Lost
C0119,3,1,267.3,5,1,1,511,New Customers
C0120,123,5,30597.0,3,5,4,354,Potential Loyalists
C0121,262,1,6100.0,2,1,1,211,Lost
C0122,101,8,76273.2,4,5,5,455,Champions
C0123,186,2,17196.0,2,2,2,222,Lost
C0124,121,1,6528.0,3,1,1,311,Potential Loyalists
C0125,239,3,24798.0,2,3,3,233,Potential Loyalists
C0126,408,2,13279.5,1,2,2,122,Lost
C0127,106,5,26331.5,3,5,3,353,Potential Loyalists
C0128,39,4,53150.0,5,4,5,545,Champions
C0130,449,1,282.15,1,1,1,111,Lost
C0131,426,2,12110.0,1,2,2,122,Lost
C0132,145,3,31334.0,3,3,4,334,Potential Loyalists
C0133,123,2,12388.5,3,2,2,322,Potential Loyalists
C0134,213,4,64498.6,2,4,5,245,At Risk
C0135,244,2,9795.5,2,2,1,221,Lost
C0136,10,3,23000.0,5,3,3,533,Potential Loyalists
C0137,103,1,1510.5,4,1,1,411,New Customers
C0138,76,2,23310.0,4,2,3,423,New Customers
C0139,442,1,4960.0,1,1,1,111,Lost
C0141,260,2,11508.0,2,2,2,222,Lost
C0142,191,2,33094.5,2,2,4,224,Lost
C0143,145,1,6992.0,3,1,1,311,Potential Loyalists
C0144,21,3,17922.65,5,3,2,532,Potential Loyalists
C0145,242,1,12698.0,2,1,2,212,Lost
C0146,377,2,9968.0,1,2,1,121,Lost
C0147,131,3,19485.0,3,3,3,333,Potential Loyalists
C0148,94,3,18103.0,4,3,2,432,Potential Loyalists
C0149,19,5,38180.3,5,5,4,554,Champions
C0150,4,5,42748.0,5,5,5,555,Champions
C0152,525,1,7850.0,1,1,1,111,Lost
C0153,106,4,23505.7,3,4,3,343,Potential Loyalists
C0154,78,5,32037.6,4,5,4,454,Champions
C0155,209,7,66569.0,2,5,5,255,At Risk
C0156,30,3,14817.0,5,3,2,532,Potential Loyalists
C0157,484,2,18114.0,1,2,2,122,Lost
C0159,51,5,35640.55,4,5,4,454,Champions
C0160,72,2,24536.0,4,2,3,423,New Customers
C0161,331,3,23297.5,1,3,3,133,Potential Loyalists
C0162,10,1,3690.0,5,1,1,511,New Customers
C0163,199,2,20728.0,2,2,3,223,Lost
C0164,99,6,55408.3,4,5,5,455,Champions
C0165,108,4,32049.0,3,4,4,344,Potential Loyalists
C0166,199,2,5514.0,2,2,1,221,Lost
C0167,84,4,70155.5,4,4,5,445,Champions
C0168,56,4,52359.5,4,4,5,445,Champions
C0169,4,1,4590.0,5,1,1,511,New Customers
C0170,89,4,27380.0,4,4,3,443,Potential Loyalists
C0172,38,4,36133.0,5,4,4,544,Champions
C0173,176,3,19080.0,3,3,3,333,Potential Loyalists
C0174,304,3,38751.5,1,3,4,134,Potential Loyalists
C0175,284,1,10710.75,2,1,2,212,Lost
C0176,378,2,37388.0,1,2,4,124,Lost
C0177,61,5,35349.4,4,5,4,454,Champions
C0178,191,3,28258.0,2,3,4,234,Potential Loyalists
C0179,17,1,11530.0,5,1,2,512,New Customers
C0180,105,3,18757.0,4,3,3,433,Potential Loyalists
C0181,73,2,18167.55,4,2,3,423,New Customers
C0182,535,1,23232.0,1,1,3,113,Lost
C0183,297,1,3285.0,2,1,1,211,Lost
C0184,180,3,40189.0,3,3,4,334,Potential Loyalists
C0185,19,4,69856.5,5,4,5,545,Champions
C0186,287,4,30540.0,2,4,4,244,At Risk
C0187,57,3,13124.5,4,3,2,432,Potential Loyalists
C0188,113,3,14084.0,3,3,2,332,Potential Loyalists
C0189,128,5,34188.0,3,5,4,354,Potential Loyalists
C0190,187,3,24774.0,2,3,3,233,Potential Loyalists
C0191,7,2,9968.0,5,2,1,521,New Customers
C0192,143,8,93445.9,3,5,5,355,Potential Loyalists
C0193,178,4,44392.0,3,4,5,345,Potential Loyalists
C0194,351,1,11292.0,1,1,2,112,Lost
C0195,150,4,29825.75,3,4,4,344,Potential Loyalists
C0196,154,3,36600.5,3,3,4,334,Potential Loyalists
C0197,11,4,28890.0,5,4,4,544,Champions
C0198,190,2,19414.5,2,2,3,223,Lost
C0199,102,5,44247.0,4,5,5,455,Champions
C0200,108,2,22900.5,3,2,3,323,Potential Loyalists
C0201,342,1,3726.0,1,1,1,111,Lost
C0202,130,4,41578.5,3,4,5,345,Potential Loyalists
C0203,138,2,3078.0,3,2,1,321,Potential Loyalists
C0204,48,7,68005.05,4,5,5,455,Champions
C0205,414,1,5081.0,1,1,1,111,Lost
C0206,9,3,27284.5,5,3,3,533,Potential Loyalists
C0207,414,2,7832.0,1,2,1,121,Lost
C0208,273,2,16417.95,2,2,2,222,Lost
C0209,122,3,60622.0,3,3,5,335,Potential Loyalists
C0210,503,1,21171.8,1,1,3,113,Lost
C0211,67,5,42015.0,4,5,5,455,Champions
C0212,171,2,18847.5,3,2,3,323,Potential Loyalists
C0213,204,4,17842.5,2,4,2,242,At Risk
C0214,108,3,18939.7,3,3,3,333,Potential Loyalists
C0215,47,4,38588.5,5,4,4,544,Champions
C0216,62,4,64243.5,4,4,5,445,Champions
C0217,101,4,22357.15,4,4,3,443,Potential Loyalists
C0218,284,2,36622.0,2,2,4,224,Lost
C0219,374,3,12186.0,1,3,2,132,Potential Loyalists
C0220,322,1,13900.0,1,1,2,112,Lost
C0221,314,3,6979.0,1,3,1,131,Potential Loyalists
C0222,236,2,13320.5,2,2,2,222,Lost
C0223,218,1,6859.5,2,1,1,211,Lost
C0224,234,4,21886.5,2,4,3,243,At Risk
C0225,193,3,23123.5,2,3,3,233,Potential Loyalists
C0226,104,5,33452.0,4,5,4,454,Champions
C0227,29,5,34793.0,5,5,4,554,Champions
C0228,83,5,46564.5,4,5,5,455,Champions
C0229,50,5,53442.5,4,5,5,455,Champions
C0230,44,4,57734.45,5,4,5,545,Champions
C0231,11,7,57080.5,5,5,5,555,Champions
C0232,495,1,13870.0,1,1,2,112,Lost
C0233,344,1,11552.0,1,1,2,112,Lost
C0234,439,1,8840.0,1,1,1,111,Lost
C0235,157,5,63741.0,3,5,5,355,Potential Loyalists
C0236,332,2,15630.0,1,2,2,122,Lost
C0237,145,2,10935.0,3,2,2,322,Potential Loyalists
C0238,162,6,31799.0,3,5,4,354,Potential Loyalists
C0239,475,1,4320.0,1,1,1,111,Lost
C0241,23,3,44225.5,5,3,5,535,Potential Loyalists
C0242,75,7,64802.0,4,5,5,455,Champions
C0243,77,4,41550.5,4,4,4,444,Champions
C0244,73,6,46834.55,4,5,5,455,Champions
C0245,30,1,2200.0,5,1,1,511,New Customers
C0246,216,4,24291.0,2,4,3,243,At Risk
C0247,22,3,35979.5,5,3,4,534,Potential Loyalists
C0248,154,4,42100.0,3,4,5,345,Potential Loyalists
C0249,217,1,7974.0,2,1,1,211,Lost
C0250,1,1,11981.0,5,1,2,512,New Customers
C0251,322,6,50469.0,1,5,5,155,At Risk
C0252,241,5,43758.1,2,5,5,255,At Risk
C0253,22,4,3245.5,5,4,1,541,Potential Loyalists
C0254,35,4,29055.5,5,4,4,544,Champions
C0255,90,5,50688.0,4,5,5,455,Champions
C0256,263,3,25852.0,2,3,3,233,Potential Loyalists
C0257,14,3,7153.0,5,3,1,531,Potential Loyalists
C0258,189,3,21780.0,2,3,3,233,Potential Loyalists
C0259,22,4,19805.0,5,4,3,543,Potential Loyalists
C0260,299,3,24376.0,1,3,3,133,Potential Loyalists
C0261,73,3,17017.0,4,3,2,432,Potential Loyalists
C0262,30,2,14250.0,5,2,2,522,New Customers
C0263,80,6,76140.4,4,5,5,455,Champions
C0264,30,4,17928.0,5,4,2,542,Potential Loyalists
C0265,92,1,10200.0,4,1,2,412,New Customers
C0266,212,3,40482.0,2,3,4,234,Potential Loyalists
C0267,111,3,25531.0,3,3,3,333,Potential Loyalists
C0268,347,2,18055.0,1,2,2,122,Lost
C0269,2,6,54051.5,5,5,5,555,Champions
C0270,219,5,48288.0,2,5,5,255,At Risk
C0271,538,2,32307.0,1,2,4,124,Lost
C0272,29,4,53274.0,5,4,5,545,Champions
C0274,68,3,29392.0,4,3,4,434,Potential Loyalists
C0275,240,4,43068.0,2,5,5,255,At Risk
C0276,13,2,12024.0,5,2,2,522,New Customers
C0277,53,2,11871.5,4,2,2,422,New Customers
C0278,412,2,16549.5,1,2,2,122,Lost
C0279,47,2,19142.0,5,2,3,523,New Customers
C0280,130,3,17592.0,3,4,2,342,Potential Loyalists
C0281,228,1,6600.0,2,1,1,211,Lost
C0282,404,1,1960.0,1,1,1,111,Lost
C0283,171,4,23447.5,3,5,3,353,Potential Loyalists
C0284,113,5,20717.5,3,5,3,353,Potential Loyalists
C0285,197,3,30420.0,2,4,4,244,At Risk
C0286,9,4,33536.0,5,5,4,554,Champions
C0287,195,3,20750.0,2,4,3,243,At Risk
C0288,87,6,35730.4,4,5,4,454,Champions
C0289,309,2,17952.0,1,2,2,122,Lost
C0290,63,3,20920.0,4,4,3,443,Potential Loyalists
C0291,384,2,12188.5,1,2,2,122,Lost
C0292,253,1,8519.1,2,1,1,211,Lost
C0293,42,5,58818.0,5,5,5,555,Champions
C0294,216,4,30421.5,2,5,4,254,At Risk
C0295,484,1,4560.0,1,1,1,111,Lost
C0296,313,3,41622.5,1,4,5,145,At Risk
C0297,494,1,1152.0,1,1,1,111,Lost
C0298,397,3,63657.0,1,4,5,145,At Risk
C0299,63,4,34182.4,4,5,4,454,Champions
C0300,28,2,8998.0,5,3,1,531,Potential Loyalists
